ID;Address;Longitude;Latitude;Point;State;Source_date;Color
PA_0690;12 rue Jean-Henri Fabre;2.342903;48.901307;20;Dégradé;novembre 2020 (Live FlashInvaders);orange
PA_0704;17 rue de la Cerisaie;2.365003;48.852243;30;Détruit !;mars 2020 (report);black
PA_0705;32 rue de Patay;2.374785;48.825532;20;Un peu dégradé;février 2021 (report);green
PA_0709;295 Rue de Belleville, 75019 Paris;2.4023383747010274;48.8761608873476;20;Détruit !;avril 2015 (spott);black
PA_0716;11 Rue des Lilas, 93100 Montreuil;2.4304152020115395;48.86961885837974;50;Détruit !;juillet 2015 (spott);black
PA_0721;47 Rue de l'Ourcq, 75019 Paris;2.38226489196174;48.89051070766817;30;Détruit !;juillet 2015 (spott);black
PA_0725;7 rue de Dunkarque;2.357742;48.879386;30;Détruit !;juin 2020 (report);black
PA_0729;cour du Havre;2.326082;48.87584;20;Non visible;août 2021 (report);grey
PA_0739;120 rue de Ménilmontant;2.394924;48.869942;20;Détruit !;septembre 2021 (report);black
PA_0743;45 rue du Faubourg du Temple;2.36897;48.869494;50;Détruit !;avril 2015 (spott);black
PA_0745;47 Rue de l'Ermitage, 75020 Paris;2.3917836410734217;48.87125160344574;20;Détruit !;avril 2015 (spott);black
PA_0746;79 rue Charlot;2.364217;48.86436;50;Détruit !;février 2020 (report);black
PA_0747;librairie Mazarine;2.338092;48.853989;20;OK;juillet 2020 (report);blue
PA_0749;face au conservatoire de Montreuil;2.436125;48.85901;10;OK;juillet 2015 (spott);blue
PA_0750;4 rue du Sergent Bobillot;2.434642;48.857381;30;OK;mars 2019 (report);blue
PA_0751;11 rue Girardot;2.439718;48.860505;30;Détruit !;mai 2019 (report);black
PA_0752;14 boulevard Edouard Branly;2.440929;48.876096;20;OK;juillet 2016 (spott);blue
PA_0757;place Marcel Sembat;2.24399;48.83374;20;OK;mai 2015 (spott);blue
PA_0758;44 quai du Point du Jour;2.257281;48.830897;50;OK;juillet 2016 (spott);blue
PA_0759;Sur un poteau à côté de l'entrée Canal, au coin de l'immeuble, vers la direction Île Saint-Germain;2.25653;48.83038;10;OK;février 2021 (report);blue
PA_0760;A gauche du tunnel sous le périph;2.2622787;48.8349401;20;OK;juillet 2020 (Instagram);blue
PA_0763;A3/Boulevard Edouard Branly;2.441232;48.875949;50;Détruit !;novembre 2021 (report);black
PA_0767;0 rue du Fer à  Moulin;2.356229;48.839616;50;Détruit !;janvier 2022 (report);black
PA_0768;42 boulevard Diderot;2.378005;48.846213;10;Détruit !;octobre 2022;black
