ID;Address;Longitude;Latitude
LY_0044;Unknown;4.8316009;45.7554844
LY_0045;Unknown;4.8320853;45.7566194
LY_0046;Unknown;4.8319119;45.7563039
LY_0047;Unknown;4.831327;45.7550162
LY_0048;Unknown;4.8310270;45.7576542
MPL_0001;Unknown;3.8757773;43.6131704
MPL_0002;Unknown;3.8763103;43.6127631
MPL_0003;Unknown;3.8771005;43.6134235
MPL_0004;Unknown;3.8791745;43.6126084
MPL_0005;Unknown;3.8791138;43.6122775
MPL_0006;Unknown;3.8799885;43.61241
MPL_0007;Unknown;3.8792005;43.6112566
MPL_0008;Unknown;3.8781239;43.6118155
MPL_0009;Unknown;3.8778391;43.6115619
MPL_0010;Unknown;3.8782079;43.6108715
MPL_0011;Unknown;3.8778968;43.6107481
MPL_0012;Unknown;3.877014;43.6109801
MPL_0013;Unknown;3.8766394;43.6105755
MPL_0014;Unknown;3.8769626;43.6099189
MPL_0015;Unknown;3.8764585;43.6098383
MPL_0016;Unknown;3.8760059;43.6101272
MPL_0017;Unknown;3.8751346;43.6095908
MPL_0018;Unknown;3.875567;43.6090522
MPL_0019;Unknown;3.874584;43.6084735
MPL_0020;Unknown;3.8738531;43.6089621
MPL_0021;Unknown;3.874666;43.6093332
MPL_0022;Unknown;3.8737048;43.6106319
MPL_0023;Unknown;3.8741722;43.6110686
MPL_0024;Unknown;3.8735751;43.6114841
MPL_0025;Unknown;3.8789616;43.6145533
MPL_0026;Unknown;3.8747426;43.6117356
MPL_0027;Unknown;3.8757882;43.6119986
MPL_0028;Unknown;3.8747848;43.6125287
MPL_0029;Unknown;3.8734167;43.6081019
MPL_0030;Unknown;3.8752932;43.6112624
MPL_0031;Unknown;3.8764892;43.6107223
MPL_0032;Unknown;3.8751141;43.6105881
MPL_0033;Unknown;3.8747468;43.6108807
MPL_0034;Unknown;3.8722908;43.6112804
MPL_0035;Unknown;3.8765657;43.6122971
MPL_0036;Unknown;3.8767458;43.6119635
MPL_0037;Unknown;3.876358;43.6115991
MPL_0038;Unknown;3.8759738;43.611927
MPL_0039;Unknown;3.8768788;43.6092932
MPL_0040;Unknown;3.872686;43.607226
MPL_0041;Unknown;3.8715172;43.606622
MPL_0042;Unknown;3.8814703;43.6076855
MTB_0001;Unknown;1.3520958;44.0169694
MTB_0002;Unknown;1.3513389;44.0187448
MTB_0003;Unknown;1.3504534;44.0194632
MTB_0004;Unknown;1.3542494;44.0177629
MTB_0005;Unknown;1.3519727;44.0150031
MTB_0006;Unknown;1.3500501;44.0138049
MTB_0007;Unknown;1.3518459;44.0167102
MTB_0008;Unknown;1.3513494;44.017367
MTB_0009;Unknown;1.3515207;44.0161682
MTB_0010;Unknown;1.3547926;44.0148861
MTB_0011;Unknown;1.351624;44.0169866
NA_0001;Unknown;-1.5456905;47.2155776
NA_0002;Unknown;-1.5427213;47.2160239
NA_0003;Unknown;-1.5487548;47.217022
NIM_0001;Unknown;4.362028;43.8350572
NIM_0002;Unknown;4.3611553;43.835741
NIM_0003;Unknown;4.3596139;43.8370932
NIM_0004;Unknown;4.3574347;43.8381574
NIM_0005;Unknown;4.3672136;43.833481
PAU_0001;Unknown;-0.3729146;43.2965497
PAU_0002;Unknown;-0.3720616;43.2954196
PAU_0003;Unknown;-0.3669054;43.2994416
PAU_0004;Unknown;-0.3659409;43.2958205
PAU_0005;Unknown;-0.3750148;43.2960539
PAU_0006;Unknown;-0.3738679;43.2951277
PAU_0007;Unknown;-0.3699678;43.2979946
PAU_0008;Unknown;-0.368311;43.2986961
PAU_0009;Unknown;-0.3681736;43.3167934
PAU_0010;Unknown;-0.3655265;43.2936184
PA_0001;4 Ter Pass. de la Main d'Or, 75001 Paris;2.3779945176641344;48.85177713280888
PA_0002;45 rue Quincampoix;2.350494;48.861071
PA_0003;14 rue de la Montagne Sainte-Geneviève;2.348519;48.848851
PA_0004;22 rue Monge;2.351085;48.847105
PA_0005;25 rue Guisarde;2.33376;48.85181
PA_0006;40 rue de Seine;2.336769;48.855063
PA_0007;89 quai de Valmy;2.363517;48.873073
PA_0008;Impasse Cordon-Boussard;2.397594;48.865787
PA_0009;2 bis Pass. Saint-Antoine, 75011 Paris;2.3763826709366387;48.85321957517339
PA_0010;30 rue de Charonne;2.37574;48.85326
PA_0011;24 Rue Keller, 75011 Paris;2.3757898019571058;48.85498748719733
PA_0012;24 Rue Keller, 75011 Paris;2.3758327506338603;48.854936315804586
PA_0013;47 avenue Daumesnil;2.375463;48.847401
PA_0014;59 avenue Ledru-Rollin;2.372716;48.848836
PA_0015;24 rue de Cîteaux;2.380831;48.848117
PA_0016;76 avenue Ledru-Rollin;2.374375;48.84949
PA_0017;face à  la rue Voltaire;2.361939;48.815751
PA_0018;16 rue Saint-Vincent;2.341277;48.888538
PA_0019;pont piéton de la Grange aux Belles;2.364043;48.873203
PA_0020;20 rue Saint-Fiacre;2.345908;48.870718
PA_0021;12 rue Saint-Fiacre;2.345564;48.870137
PA_0022;68 rue de Turenne;2.364654;48.859843
PA_0023;5 impasse Beaubourg;2.35343;48.8622
PA_0024;73 avenue des Gobelins;2.354526;48.833385
PA_0025;2 rue de la Corderie;2.363456;48.864634
PA_0026;101, 75001 Paris;2.346433680118661;48.86130190236651
PA_0027;fontaine des Haudriettes;2.357949;48.861207
PA_0028;face au 5 rue Keller;2.376619;48.853923
PA_0029;21 rue Pastourelle;2.359894;48.862597
PA_0030;44 rue Quincampoix;2.350511;48.860959
PA_0031;30 rue de Venise;2.35068;48.86125
PA_0032;108 rue Vieille du Temple;2.36275;48.86096
PA_0033;46 Rue des Francs Bourgeois, 75004 Paris;2.358804638966889;48.85878018904838
PA_0034;61 rue Vieille du Temple;2.358503;48.858645
PA_0035;24 rue Pavée;2.361749;48.857217
PA_0036;face au 7 boulevard Vincent Auriol;2.373305;48.837191
PA_0037;8 rue du Pasteur Wagner;2.369763;48.85557
PA_0038;1 passage Thérié;2.374937;48.853203
PA_0039;2 rue d'Écosse;2.346597;48.848325
PA_0040;45 rue de la Montagne Sainte-Geneviève;2.348168;48.847145
PA_0041;Porte de la Villette;2.386005;48.89768
PA_0042;Unknown;2.3370487;48.8538165
PA_0043;26 rue de l'Hirondelle;2.34268;48.8537
PA_0044;2 rue de l'Ancienne Comédie;2.338489;48.853573
PA_0045;1 Rue Saint-Sulpice, 75006 Paris;2.338021109176428;48.85152096964395
PA_0046;statue de Danton;2.339178;48.852267
PA_0047;4bis passage de la Main d'Or;2.37796;48.8516
